10	turn down sth or turn sth down	to reduce the amount of sound or heat that is produced by a device [e.g. television, radio, oven]
10, 55	water down sth or water sth down	to add water to a drink, especially an alcoholic drink
11	box in sb or box sb in	to prevent someone from doing what they want to do
11	bring in sth or bring sth in	to earn or make a particular amount of money
11	build in sth or build sth in	to include something as part of a system
11	cash in on sth	to make money from an event or situation, or to get some other advantage from it, often an unfair way
11, 56	come in	to start speaking during a discussion
11, 45	cut in (on) (sth)	to interrupt what someone is saying by saying something yourself
11	factor in sth or factor sth in	to include something when making a calculation or when trying to understand something
11	fit in with sth	if one activity or event fits in with another, they exist or happen together in a way which is convenient
11	lead-in	something that introduces something else
11	lead on sb or lead sb on	to make someone do something bad by encouraging them or annoying them until they do it
11	let in	if something lets in water, air, or light, it allows water, air or light to enter it through a hole or opening
11	pitch in	to help with work that needs to be done
11	show in sb or show sb in	to lead a visitor into a room where they have arranged to meet or wait for someone
11	squash (sb) in	to manage to get yourself or someone else into a very small space, or place that is full of people
11	usher in sth	formal if an event ushers in a period of time in which new things or changes happen, it is at the beginning of that period or it causes those things to happen
12	back off	to stop being involved in a situation, especially in order to allow other people to deal with it themselves
12	cordon off sth or cordon sth off	if people in authority [e.g. police] cordon off an area, they put something around it in order to stop people from entering it
12	cut off (from) swh	to be in a separate space or area and unable to communicate with people in a different space or area
12	finish off sb or finish sb off	to make someone so tired, weak, or unhappy that they are unable to continue what they were doing
12	have off sth or have sth off	to spend time away from work
12	kick off (sth)	informal to start
12	kick off sth or kick sth off	to remove your shoes by shaking your feet
12	leave off (sth/doing sth)	to stop, or to stop doing something
12, 33	round off sth or round sth off	to do something as a way of finishing an event or activity in a satisfactory way
12	shake off sb or shake sb off	to succeed in escaping from someone who is following you
12	Shove off!	something that you say when you are angry to tell someone to go away
12	shrug off sth or shrug sth off	to not worry about something and treat it as unimportant
12	split off	to stop belonging to a particular group or political party and form a separate one
12	start sb off	to help someone to start an activity, especially a piece of work
12	switch off	to stop giving your attention to something or someone
12	tick off sb or tick sb off	British & Australian to tell someone that they have done something wrong and that you are angry about it
12	work off sth or work sth off	to do something energetic to stop yourself becoming fat after eating a lot of food
13	count on sth	to expect something to happen, and make plans which depend on this thing happening
13	depend on sth/sb	to need the help or support of something or someone in order to survive or continue as before
13, 21	drone on	to talk for a long time in a very boring way
13	dwell on sth	to think or talk about a particular subject for too long
13	focus (sth) on sth	to give a lot of attention to one particular activity, situation or idea
13	frown on sth	to believe that something is wrong and that you should not do it
13	hang on sth	to depend on something
13	happen on sb/sth	to find something or meet someone without planning to
13	harp on	to talk continually about something in a way that other people find boring or annoying
13	hinge on sth	to depend on something or be very influenced by it
13	keep on	slightly informal to talk in an annoying way about something for a long time
13	live on	to continue to exist
13, 19	press on	to continue doing something in a determined way
13	ramble on	to talk or write for a long time about things that are not interesting to other people
13	read on	to continue reading and read the next part of something
13	rely on sth/sb	to need something or someone in order to survive, be successful, or work correctly
13	ride on sth	if something important [e.g. reputation, money] rides on something else, it depends on it
13	spring sth on sb	to tell someone some news that surprises them
14	clean out sth or clean sth out	to steal everything from a place
14, 23	count out sb or count sb out	informal to not include someone in an activity
14	cry out (sth) or cry (sth) out	to suddenly shout something in a loud voice, especially to get someone's attention
14	draw out sth or draw sth out	to make something continue for longer than is usual or necessary
14	jut out	to stick out from a surface or beyond the edge of something
14	kick out sb or kick sb out	to force someone to leave a place or an organisation
14	lash out	to criticise someone or something in an angry way
14	pick out sth/sb or pick sth/sb out	to choose one thing or person or several things or people from a large group
14	scream out (sth) or scream (sth) out	to suddenly shout something in a loud voice, especially to get someone’s attention
14	share out sth or share sth out	to divide something into smaller amounts and give one amount to each person or thing in a group
14	shout out (sth) or shout (sth) out	to suddenly shout something in a loud voice, especially to get someone’s attention
14	test out sth or test sth out	to test a theory or new idea by seeing how it works in a practical situation or by finding out what other people think of it
14	want out	informal to want to leave a place
14	yell out (sth) or yell (sth) out	to suddenly shout something in a loud voice, especially to get someone’s attention
15	finish up (sth) or finish (sth) up	to eat or drink all of what you are eating or drinking
15	jazz up sth or jazz sth up	to make something more attractive or interesting
15	land up	informal to finally be in a particular place, state, or situation, especially without having planned it
15	lift up sth or lift sth up	to move something from a lower to a higher position
15	pep up sth/sb or pep sth/sb up	informal to make something more interesting or attractive, or to make someone feel more active or energetic
15	pick up on sth	to react to something that you have noticed or something that has happened
15	prop yourself up	to support yourself by leaning on or against something
15	shore up sth or shore sth up	to strengthen or improve an organisation, agreement, or system that is not working effectively or that is likely to fail
15	split up (sth) or split (sth) up	to divide into smaller parts or groups, or to divide something into smaller parts or groups
15	stick up	if part of something sticks up, it comes up above the surface of something, or it points upwards
15, 51	write up sth or write sth up	to write something on paper or on a computer in a complete or final form, often using notes you have made
16	break up sth or break sth up	if an event breaks up a period of time, it makes it more interesting by being different to what you are doing for the rest of the time
16	bring forward sth or bring sth forward	to change the date or time of an event so that it happens earlier than planned
16	come around/round	if a regular event comes around, it happens at its usual time
16	creep up on sb	if a date or an event creeps up on someone, it seems to come or happen sooner than they were expecting
16	drag out (sth) or drag (sth) out	to continue for longer than is necessary, or to make something do this
16	eke out sth or eke sth out	to use something slowly or carefully because you only have a small supply of it
16	free up sth or free sth up	to make time or money available for a particular use by not using it in another way
16	fritter away sth or fritter sth away	to waste something [esp. money, time] by using it in a careless way for unimportant things
16	be getting on	mainly British & Australian informal when time is getting on, it is getting late
16	hold over sth or hold sth over	to delay something and to arrange to do it at a later time
16	hurry along	to make someone do something more quickly, or to make something happen more quickly
16	lead up to sth	if a period of time or a series of events leads up to an event or activity, it happens until that event or activity begins
16	pass sb by	if an event or opportunity passes you by, you do not notice it or you do not get any advantage from it
16	pull your socks up	to make an effort to improve
16	set aside sth or set sth aside	to use something, especially time, for one purpose and no other purpose
16	set back sb/sth or set sb/sth back	to make something happen more slowly, or to make something happen later than it should happen
16	slip away	if a period of time slips away, it seems to pass quickly
16, 25	space out sth or space sth out	to arrange things so that there is enough space or time between them
16	spin out sth or spin sth out	to make something continue for as long as possible
17	account for sth	to explain the reason for something or the cause of something
17	add up	to be a reasonable or likely explanation for something
17	add up to sth	to have a particular result or effect
17	attribute sth to sth	slightly formal to believe or say that something is the result of something else
17	come out of sth	if something comes out of a process or an event, it is one of the results
17	contribute to sth	to be one of the causes of an event or situation
17	impact on sth/sb	slightly formal to have a noticeable effect on
17	lead to sth	if an action or event leads to something, it causes that thing to happen or exist
17	point to/towards sth	if one thing points to something else, it makes it seem likely that it is true
17	put sth down to sth	to think that a problem or bad experience is caused by something else
17	rebound on sb	if a negative action rebounds on someone, it has a bad effect on the person who did it and they do not achieve what they were trying to achieve
17, 34	result in sth	to cause something to happen, or to make a situation exist
17	be rooted in sth	to be based on, or caused by
17	stem from sth	if a problem or difficult situation stems from something, it is caused by it
18	block out sth or block sth out	to stop yourself from thinking about something unpleasant because it upsets you
18	call up sth or call sth up	if something calls up a memory or an idea, it makes you remember or think about it
18	come back	if something comes back to you, you remember it
18	conjure up sth or conjure sth up	to make something [e.g. picture, image, memory] appear in someone's mind
18	eat away at sb	if a memory or bad emotion [e.g. bitterness, shame] eats away at someone, they think about it a lot and it makes them very unhappy
18	flash back	if your mind or thoughts flash back to something that happened to you in the past, you suddenly remember that thing
18	flashback	n an occasion when you suddenly remember something vividly that happened to you in the past
18	flood back	if memories flood back, you suddenly remember very clearly a lot of things about an experience or period in the past
18	put sth behind sb	if you put an unpleasant experience behind you, you forget it so that it does not affect your life
18	remind sb of sb/sth	to cause someone to think of someone or something
18	stick with sb	if something sticks with you, you remember it
18	stir up sth or stir sth up	if something stirs up memories, it makes you remember events in the past, usually ones that make you feel sad
18	store up sth or store sth up	to remember things, usually so that you can tell people about them later
18	summon up sth or summon sth up	if something summons up a memory or an image, it makes you remember something or think about something
19	bottom out	if a situation, level, or rate that is getting worse bottoms out, it reaches the lowest point and remains at that level or amount, usually before improving
19	break up (sth) or break (sth) up	if an occasion when people meet [e.g. meeting, party] breaks up, or if someone breaks it up, it ends and people start to leave
19	dry up	if a supply of something dries up, it ends
19	finish with sth	to stop using or needing something
19	get up to sth	to reach a particular place in something that you are doing and to stop there
19	hang on to/onto sth/sb	to keep someone or something
19	magic away sth or magic sth away	to make something disappear so quickly that it seems as if you have used magic
19	peter out	if an energetic activity or a strong emotion peters out, it gradually becomes less energetic or strong until it stops completely
19	spring up	if something springs up, it suddenly appears or begins to exist
19	sprout up	if a large number of things sprout up, they suddenly appear or begin to exist
19	whittle away sth or whittle sth away or whittle away at sth	to gradually reduce the size or importance of something until it does not exist any more
19	wind up (sth) or wind (sth) up	to finish an activity
20	bump sb off or bump off sb	informal to kill someone
20	bust-up	n informal an angry argument
20, 56	come at sb	to move towards someone in order to attack them
20	drag sb/sth into sth	to talk about or bring someone or something into a difficult or unpleasant situation, especially when that person or thing is seen as being connected with the situation
20	fight off sb/sth or fight sb/sth off	to use violence so that something or someone goes away
20	flare up	if someone flares up, they suddenly become very angry
20	fly at sb	to attack someone suddenly and violently
20	fly into sth	if someone flies into a particular state [e.g. rage, temper, panic] they are suddenly in that state
20	go back to sth	if a situation goes back to a particular state, it returns to that state
20, 43	knock out sb or knock sb out	to make someone become unconscious or to make someone fall asleep
20	push sb about/around/round	to tell someone what to do in a rude or threatening way
20	push over sb/sth or push sb/sth over	to push someone or something so that they fall to the ground
20	round on sb	to suddenly turn and attack someone, or shout at them angrily
20	smash up sth or smash sth up	to badly damage or destroy something by hitting it many times
20	wipe out sth or wipe sth out	to destroy or get rid of something
21	bang down sth or bang sth down	to put something down with force, often because you are angry
21	belt out sth or belt sth out	informal to sing or to play a musical instrument very loudly
21	blast out (sth) or blast (sth) out	to produce a lot of noise, especially loud music
21	boom out (sth)	to speak in a loud voice, or to make a loud noise
21	burst out sth	if you burst out laughing or crying, you suddenly start to laugh or cry
