10	make up sth or make sth up	to say or write something that is not true [e.g. excuse, report, story] in order to deceive someone
10	make up sth	to form the whole of something
10	make-up n	the combination of things which form something
10	make up for sth	to replace something that has been lost, or to provide something good in order to make a bad situation better
10	make it up to sb	to do something good for someone who you have done something bad to in the past, or to someone who has done something good for you
11	be put out	to be annoyed, often because of something that someone has done or said to you
11,39	put across sth or put sth across	to explain or express something clearly so that people understand it easily
11	put back sth or put sth back	if you put a watch or clock back, you make it show an earlier time
11	put down (sth) or put (sth) down	to land in an aircraft, or to make an aircraft land
11	put forward sth or put sth forward	if you put forward a clock or watch, you make it show a later time
11,64	put in sth or put sth in	to fix new equipment or a new system in the correct place in a room or building, or to type [data] into a computer
11	put off sb or put sb off	to tell someone that you cannot see them or do something for them until a later time
11	put on sth or put sth on	to make a device [e.g. light, fire] work by pressing a switch
11	put out	to be annoyed, often because of something that someone has done or said to you
11	put up sth or put sth up	to build a structure [e.g. wall, building, statue]
12	be taken up with sth	to be very busy doing something
12	take apart sth or take sth apart	to separate something into its different parts
12	take aside sb or take sb aside	to separate someone from a group of people so that you can speak to them privately
12	take away sth or take sth away	if you take one number away from another one, you subtract the first number from the second
12	take back sth or take sth back	to return something to the person or organisation that you borrowed or bought it from
12	take off	to suddenly leave somewhere, especially without telling anyone that you are going
12	take off sth or take sth off (sth)	to subtract a particular amount from a total
12	take out sth or take sth out	to arrange to get an official document [e.g. insurance policy] from an organisation or court of law
12	take to sth/doing sth	to start to do something often
12	take up sth or take sth up	to start doing a particular job or activity
12	take sb up on sth	to accept an offer that someone has made
12	taken up with sth	to be very busy doing something
13	chop up sth or chop sth up	to cut something, especially food, into small pieces
13	clog up (sth) or clog (sth) up	if something [e.g. road, pipe] clogs up, or if something clogs it up, it becomes blocked and nothing in it is able to move
13	divide up (sth) or divide (sth) up	to separate something into smaller parts or groups, or to form smaller parts or groups
13	drink up (sth) or drink (sth) up	to completely finish your drink
13	eat up sth or eat sth up	to eat all the food you have been given
13	hang up sth or hang sth up	to hang something, especially clothes, on a hook
13	jumble up sth or jumble sth up	to mix things together in an untidy way
13	liven up (sth) or liven (sth) up	to become more interesting and exciting, or to make something become like this
13	load up (sth) or load (sth) up	to put a lot of things into a vehicle or machine
13	open up (sth) or open (sth) up	to start a new shop or business
13,49,64	set up sth or set sth up	to start a company or organisation, or to get something ready to use
13,49	set-up n	the way in which things are organised or arranged
13	show up	to arrive, especially at a place where people are expecting you
13	sweep up (sth) or sweep (sth) up	to remove rubbish or dirt, usually from the floor, using a brush
13,64	use up sth or use sth up	to finish a supply of something
14	burnout n	illness or extreme tiredness because you have been working too hard
14	clear out sth or clear sth out	to make a place tidy by removing things that are unwanted
14	help out (sb) or help (sb) out	to help someone, especially by giving them money or by doing work for them
14	let out sb/sth or let sb/sth out	to allow a person or animal to leave somewhere, especially by opening a locked or closed door
14	lock out sb or lock sb out	to prevent someone from entering a building by locking the door
14	lock yourself out	to accidentally prevent yourself from getting into a building or vehicle by leaving the keys inside when you shut the door
14	lose out	to not have an advantage that other people have
14,64	run out (of)	to use all of something so that there is none left
14	see out sb or see sb out	to go with someone to the door of a room or building when they are leaving
14	show out sb or show sb out	to lead a visitor who is leaving to the door of a room or building
14	spread out	arrange on a flat surface
