unit	collocation
58	disclaim responsibility
12	heated discussion
2	lead a discussion
49	lengthy discussion
46	rare disease
18	dishevelled hair
59	instant dislike
6	strongly dislike
9, 59	take a dislike to
5	dispose of items
55	settle a dispute
42	long distance from
42	short distance from
42	travel a distance of x kilometres
42	within walking distance
40	in the not too distant future
19	distant relative
33	draw a distinction between
2	sharp distinction
54	distinctly remember
56	opinions are divided
19	get a divorce
2	get divorced
2	do your duty
28	do an essay
28	do an exam
7, 25	do exercises
7	do an experiment
7	do someone a favour
7	do someone a good turn
25	do gymnastics
7	do your hair
7	do harm
28	do homework
7	do your homework
7	do the ironing
25	do judo
28	do a lecture
32	do research
28	do a research project
2	do some shopping
7	do the shopping
25	do sport
28	do a subject
28	do a talk
7	do the washing
25	do weightlifting
2, 7	do some work
25	do wrestling
25	do yoga
21	do up an old house
58	leak a document
14	domestic flight
15	dominate the landscape
25	play dominoes
37	donate money to
52	doomed to failure
56	have doubts
23	download an e-book reader app
27	download applications
28	final draft
28	first draft
46	dramatic fall
52	dramatic improvement
46	dramatic rise
15	dramatic setting
21	draughty hall
33	draw parallels
5	pretty dreadful
21	dream home
9	have a dream
11	wear a dress
22	refreshing drink
22	soft drink
13	driving rain
13	driving snow
18	droopy moustache
49, 58	drop a hint
25	drop a player
46	drop in the number of
2	sharp drop
25	fail a drugs test
44	dry hair
44	dry skin
5	pretty dull
18	dumpy woman
2	dying of hunger
41	ear-splitting noise
41	ear-splitting sound
54	earliest memory
51	early start
6	ridiculously early
30	take early retirement
37	earn a good salary
11, 37	earn money
11	earn a salary
3	ease pain
2	ease the pain
24	easy listening
23	easy read
29	easy to read
50	easy walk
2	extremely easy
6	ridiculously easy
26	healthy eating
39	economic migrant
39	global economy
6	highly educated
28	further education
28	get an education
28	higher education
28	receive an education
28	tertiary education
41	eerie silence
53	have an effect
53	have an effect on
53	huge effect
42	major effect
42	minor effect
53	negative effect
53	positive effect
53	produce the opposite effect
52	effective way
6	extremely effective
6, 52	highly effective
23	special effects
1, 2, 7	make an effort
10	elderly person
11	win an election
46	unit of electricity
5	embark upon an explanation
4	surge of emotion
21	emotional impact
21	emotional involvement
21	emotional response
21	emotional wreck
21	highly emotional
33	lay emphasis on
21	life feels empty
50	walking encyclopaedia
23	end of a film
51	end result
51	perfect end
10	end a relationship
10	film ends
51	holiday ended
51	journey ended
51	meal ended
51	trip ended
24	have a happy ending
34	enforce the law
1	powerful engine
25	enhance your performance
