1, 22	be at loggerheads
24	a money-spinner
24	spend money like water
24	put paid to
24	pay the price for
24	a rip-off
24	well-heeled
24	well-off
25	behind the scenes
25	at the bottom of the (career) ladder
25	career ladder
25	at the top of the (career) ladder
25	climb to the top of the career ladder
25	have your work cut out
25	dead-end job
25	be up to your ears/eyes (in work)
25, 48	rushed off your feet
25, 47	have your hands full
25	get / be given the sack
25	get out of a rut
25	give sb / get the sack
25	be on the go
25	be headhunted
25	put sth on hold
25	at the top of the career ladder
25	on paper
25	pull out (all) the stops
25	run-of-the-mill
25	step into sb's shoes
25	talk shop
25	be snowed under
26	all over the place
26	get/go beyond a joke
26	by/in leaps and bounds
26	left, right and centre
26, 48	drag your feet/heels
26	fast and furious
26	fever pitch
26	get off to a flying start
26	be in full swing
26	get a move on
26, 48	drag your heels/feet
26	keep track
26	be on the run
26	on the spot
26	the word spread
26	step by step
27	be on about
27	for want of a better word
27	in the same breath
27	to coin a phrase
27	be no joke
27	be no laughing matter
27	a pack of lies
27	make light of
27	a likely story
27	take the mick/mickey
27	off-the-cuff
27	(not) ring true
27	a slip of the tongue
27	small talk
27	in a word
28	not take no for an answer
28	be beside the point
28	loud and clear
28	get a word in edgeways
28	the fine/small print
28	lingua franca
28	a question mark (hanging) over
28	not know the meaning of the word
28	matter-of-fact
28	be a matter of opinion
28	speak your mind
28	miss the point
28	be a tall order
28	the small/fine print
28	word for word
29	Absence makes the heart grow fonder
29	Actions speak louder than words.
29	all work and no play
29	Don't put all your eggs in one basket.
29	a bird in the hand
29	birds of a feather
29	Blood is thicker than water.
29	take care of the pence/pennies
29	while the cat's away, the mice will play
29	too many cooks
29	It's no good / There's no point crying over spilt milk.
29	people who live in glass houses
29	the grass is always greener
29	Many hands make light work.
29	it's the last straw
29	There's no point / It's no good crying over spilt milk.
30	bear/keep in mind
30	ring a bell
30	your mind goes blank
30	rack your brains
30	come/spring to mind
30	commit sth to memory
30	cross your mind
30	jog sb's memory
30	keep/bear in mind
30	take a stroll/trip down memory lane
30	leave a sour taste in your mouth
30	in/within living memory
30	Out of sight, out of mind.
30	slip your mind
30	spring/come to mind
30	a train of thought
30, 53	(be) on the tip of your tongue
30	take a trip/stroll down memory lane
31	at the end of the day
31	for the time being
31	have seen better days
31	the shape of things to come
31	it's early days (yet)
31	from/since the year dot
31	have a lot of time for sb
31	in the long run
31	make up for lost time
31	be only a matter of time
31	in the medium/long/short term
31	in the nick of time
31	be on the threshold of sth
31	out-of-date
31	in the short/medium/long term
31	be a sign of the times
31	stand the test of time
31	before your time
31	in a time warp
31	as if there was/were no tomorrow
31	like there's no tomorrow
32	once and for all
32	once in a blue moon
32	call it a day
32	not have a minute to call your own
32	work against the clock
32	go/run/work like clockwork
32	at the crack of dawn
32	once in a lifetime
32	nine times out of ten
32	in no time at all
32	off and on / on and off
32	run/go/work like clockwork
32	from scratch
32	then and there
32	there and then
32	from time to time
32	work/go/run like clockwork
33	add fuel to the fire/flames
33	pluck a number out of the air
33	blow hot and cold
33	see how / which way the wind is blowing
33	between the devil and the deep blue sea
33	pour cold water on sth
33	be in deep water
33	jump in the deep end
33	throw sb in the deep end
33	be out of your depth
33	a drop in the ocean
33	be the salt of the earth
33	go to the ends of the earth
33	fall on stony ground
33	There's no smoke without fire.
33	not set the world on fire
33	play with fire
33	get wind of sth
33	go up in smoke
33	run to ground
33	in the heat of the moment
33	be in hot water
33	make waves
33	spread like wildfire
33	the tide turns
33	see how/which way the wind is blowing
34	a grey area
34	green belt
34	a black hole
34	in black and white
34	blue blood
34	blue-collar
34	until you are blue in the face
34	catch sb red-handed
34	be green with envy
34, 47	have green fingers
34	give sth the green light
34	a red herring
34	be in the red
34	red tape
34	white-collar
35	would give you the shirt off their back
35	bore the pants off someone
35	have big shoes to fill
