unit	collocation
9	information disseminate influenced
48	item of influenced
3	snippet of influenced
25	invest in infrastructure
30	infringe the regulations
17	show initiative
9	protest innocence
48	instantly recall
52	instigate measures
3	intensely personal
44	keen interest
34	raise interest rates
33	interest-free overdraft
14	promote interests
44	pursue your interests
34	safeguard someone’s interests
44	interpersonal skills
42	interview exclusive
42	interview in-depth
34	introduce a levy
35	introduce a neighbourhood watch scheme
30	introduce new legislation
30	introduce regulations
10	see off an intruder
34	invest in the long-term
5	investigate an arms deal
5	conduct an investigation into an arms deal
5	subject to police investigation
54	touch of irony
58	confront an issue
18	tackle the issue
22	take issue with
22	issue a statement
48	item of information
48	simplicity itself
12	land a job
6	walk straight into a job
19, 23	join in the festivities
11	join the staff
10	jot down a phone number
10	jot down a room number
26	journey arduous jot down
26	break the jot down
26	leg of a jot down
60	jump for joy
13	lack of judgement
59	lapse of judgement
13	pass judgement on
13	poor judgement
6	jump to a conclusion
13	jump to conclusions
38	justice is served
38	miscarriage of justice
58	keep a promise
27	keep in shape
6	keep someone on their toes
10	keep up a foreign language
23	keep up the tradition
23	tie the knot
17	thirst for knowledge
12	sweated labour
11	move up the ladder
20	strong language
50	large percentage
29	lasting impression
25	run late
13	think laterally
27	the latest scores
28	launch a scheme
35	law and order break down
30	pass laws
11	lay off staff
18	lay out the results
1	lead a seminar
32	leafy suburbs
17	quick learner
17	seat of learning
11	maternity leave
34	leave unchecked
46	leave room
26	leg of a journey
25	lengthy tailbacks
42	let someone in on the secrets
41	let someone out of your sight
37	reduce your stress level
43	stoop to that level
34	levy a tax
1	lick of paint
51	life is turned upside-down
46	shape someone’s life
42	lavish lifestyle
6	light reading
27	push yourself to the limits
54	pride of lions
12	narrow the list down
18	literature review
12	lose your livelihood
12	living wage
11	make a living
32	urban living
46	within living memory
2	picturesque location
54	swarm of locusts
8	lodge a complaint
23	long-standing tradition
40	long-term relationship
28	long-term solution
24	new season’s look
5	look into an arms deal
57	really / very much look forward to
49	widespread looting
47	lose your voice
46	take up a lot of room
46	take up a lot of space
9	talk a lot of sense
11	under a lot of pressure
57	not have much luck
60	pure luck
3, 54, 60	stroke of luck
26	lull someone to sleep
24	luxury cream
14	maintain quality
50	majority overwhelming lull
21	secure a lull
21	slim lull
16	make a complaint
4	make a difference
1, 49	make mistakes
8	make an offer
33	make a payment
28	make plans
35	make a plea
8	make a proposal
40	make a relationship work
8	make room for
8	make a success of
8	make some suggestions
19	make someone welcome
14	narrow profit margins
1	play the stock market
15	conduct market research
15	market segmentation
15	market share
14	target market
15	marketing campaign
15	in-house marketing team
50	massive overdose
12	master new skills
6	weighty matters
17	mature student
8	rustle up a meal
11	practise medicine
47	meet with a stony silence
34	meet with success
14	meet a target
12	pencil in a meeting
11	member of staff
41	rekindle memories
12	menial tasks
42	meteoric rise to fame
32	in the middle of nowhere
7	mildly surprised
4	pass a milestone
43	mindless violence
49	minimise a risk
43	minor niggles
50	small minority
12	professional misconduct
27	miss a penalty
51	modest recovery
41	senior moment
21	recovery of money
16, 34	value for money
54	troop of monkeys
40	provide moral support
53	set the wheels in motion
1	spectacular mountains
47	muffled voice
36	store music
43	nasty piece of work
59	nasty shock
21	nationwide search
17	natural talent
9	needless to say
21	negotiate a settlement
23	pre-wedding nerves
25	bus network
25	cycle network
25	rail network
40	social network
4	newly qualified
57	news travels fast
9	wouldn’t say no to
9	talk nonsense
56	put the nose to the grindstone
46	the not-so-distant future
9	notify the police
35	novel solution
4	novelty value
11	opposite number
50	significant number (of)
50	substantial number (of)
53	render obsolete
30	obtain permission
19	special occasion
41	occasional twinge
49	problem occurs
7	slightly offensive
11	tempting offer
21	resign from office
10	take up office
16	online shopping
52	opening remarks
10	see off an opponent
22	a vociferous opponent
3	pass up an opportunity
55	polar opposite
48	viable option
16	place an order
43	totally out of order
19	order a takeaway
29	startling originality
55	the other side of the argument
4	pending the outcome
53	provoke an outcry
2	broad outline
11	take priority over
25	overcrowded train
37	take an overdose
33	run up an overdraft
12	unpaid overtime
38	overturn a verdict
50	overwhelming majority
54	pack of wolves
25	park-and-ride scheme
46	vacant parking space
26	send out a search party
19	surprise party
19	throw a party
31	weather patterns
19	pay someone a visit
39	restore peace
25	peak time
24	feel peckish
4	pending the response
4	pending the results
50	small percentage
19	the perfect venue
48	perfect a technique
44	perform a task
27	put up a performance
22, 30	seek permission
45	personality traits
2	picturesque town
1, 2	picturesque village
17	secure a place
3	plain truth
28	unveil a plan
40	platonic relationships
27	play brilliantly
17	play truant
34	plummeting profits
54	pod of whales
45	strong point
58	take someone’s point
14	unique selling point
22	refuse point-blank
16	poor quality
49	pose a threat
11	take up a post
46	preserve for posterity
12	realise your potential
36	restore power
21, 39	seize power
4	practical value
28	put into practice
42	heap praise on
39	pre-emptive strike
52	terminate a pregnancy
42	prenuptial agreement
28	preparations are underway
15	press coverage
3	withstand pressure
21	prime-time television
5	probe an arms deal
49	tackle a problem
13	wrestle with a problem
6	weighty problems
30	standardise procedures
21	proclaim a victory
53	produce a result
15	product development
15	product placement
8	turn a profit
58	promise break a profits
20	empty profits
58	go back on a profits
58	keep a profits
20	rash profits
16	prompt service
53	prompt speculation
22	public pronouncement
9	speak properly
23	propose a toast
8	stage a protest
23	proud tradition
4	provide entertainment
18	provide a rationale
44	provide a reference for
35	provide relief
35	provide shelter
4	provide simultaneous translation
34	public spending
32	reliable public transport
36	publish research
60	sense of purpose
9	state a purpose
58	put a question to someone
52	put a stop to
26	put on standby
38	put on trial
27	put up a determined performance
44	well qualified
19	spend quality time
16	top quality
50	sheer quantity
50	significant quantity (of)
50	substantial quantity (of)
50	unknown quantity
52	quell unrest
20	tough question
32	quiet backwater
52	rain sets in
47	raise your voice
24	stunning range
1, 50	wide range
20	rash promise
17	read a subject at university
18	background reading
57	the simple reason
29	thoroughly recommend
44	wholeheartedly recommend
31	recycle waste
12	take up references
32	urban regeneration
21	regime topples
22	regular update
47	silence reigns
40	stable relationship
40	relationships forge new relationship
40	platonic relationship
4	reliable source
60	sigh of relief
57	welcome relief
51	remain unchanged
25	replacement bus service
18	submit a report
29	a considerable reputation
29	a well-deserved reputation
30	satisfy the requirements
18	select a research topic
41	respect someone’s wishes
37	respond well to treatment
43	shirk responsibilities
12	take on responsibility
43	the blame rests with
44	reveal a talent
42	reveal secrets
25	get into reverse
51	undergo a revival
21	substantial reward
4	rich source
23	rich tradition
7	utterly ridiculous
40	heal the rift
14	see a rise
14	show a rise
34	rising unemployment
25	road closure
53	the root cause
48	simple rule
20	spread a rumour
6	run into difficulties
36	run smoothly
6	run into trouble
25	rush hour
54	touch of sadness
51	stay the same
54	a shoal of sardines
36	use satnav
9	not say a word
28	stick to a schedule
32	tree-planting scheme
17	win a scholarship
54	school of fish
54	school of sardines
27	score stands at
25	season ticket
9	tell a secret
21	secure a majority
57	give someone a good send-off
38	serve out a sentence
4, 41	sentimental value
7	totally separate
16	take a complaint seriously
20	take someone seriously
16	next-day service
24	unrivalled service
17	set text
24	set a trend
52	set to work rain sets in
45	sharp wit
50	sheer size
51	sudden shift
60	shiver down your spine
54	shoal of sardines
57	come as a bit of a shock
59	in a state of shock
46	short of space
